Year,Paper,Slug,3D shape,active vision,actuators,adaptation,ageing,alignment of signals,animation,assistive technology,asynchrony,attention,attractive/repulsive prompt,audiovisual simultaneity,augmented reality,avatars,bayesian model,binocular cue,biological motion,body ownership,causality,collision awareness,communication,compliance perception,composite objects,computational modelling,context,crossmodal,crossmodal intervals,cue integration,cueing,cues,curvature,cyber-physical systems,dancing,data analysis,data visualization,database,deformable models,delay,depth perception,detection threshold,device,diffusion model,discrimination,disparity,distance,duration distortions,EEG,entrainment,expectation,extended reality / virtual reality,filled-duration illusion,fMRI,force discrimination,force feedback,force perception,frequency,gestural input,gestures,glossiness,grasping,hand,hand tracking,handover,haptic perception,haptic rendering,haptics,human-computer interaction,human-in-the-loop,human-robot interaction,illumination,illusion,illusions,index finger,integration,interaction design,interval filling,isochrony,jerk,JND,joysticks,kalman filter,keyboard,kinematics,latency,learning,lighting,linear regression model,locomotion,locomotion technique,material perception,measurement method,mixed reality,motion,motion perception,motion tracking,motor control,movement analysis,movement method,multisensory integration,multisensory perception,multisensory time perception,music,musical scale,mvpa,navigation,nervous system,neuroimaging,oculomotor,optic flow,optimal fusion,orientation,perceived duration,perceived timing,perception,perceptual dynamics,peripersonal space,photic stimulation,physiology,pinch grasp,position error,posterior fusiform sulcus,predictive perception,prior entry,prior knowledge,proprioception,psychometric function,psychophysics,reaction time,recalibration,redundant sensory estimates,representation,rhythm,rigidity constraint,robot grasping,robotics,roughness,self-touch,sensory information,sensory latency,sensory thresholds,shadow,shape from shading,short-interval duration,signal processing,simulation,skin,skin stretch,slant,slant perception,softness,spatial,spatial acuity,spatial integration,spectral,specularity,speech,speed-accuracy tradeoff,stiffness,stiffness perception,structure from motion,subjective simultaneity,surface gloss,synchronisation,synchrony perception,tactile,tactile sensitivity,task analysis,teleoperation,temporal expectation,temporal integration,temporal order judgment,temporal perception,temporal recalibration,temporal sensitivity,text,text entry,texture,thumb,time shift,tone frequency,touch,touch perception,tracking,trajectory,travel,usability,user evaluation,v3b/ko,vibrotactile,vibrotactile guidance,virtual character,virtual environment,virtual grasping,virtual hand interaction,virtual hands,virtual reality,vision,visual feedback,visual motion,visual perception,visual-haptic integration,visualization,wearable,weight perception,wrist
2026,Belt and Whistles: Adding Lower Body Collision Awareness for MR Experiences,abdlkarim-2026-belt-and-whistles,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
2025,Biological kinematics: a detailed review of the velocity-curvature power law calculation,fraser-2025,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,TEXT: Text Entry for XR Trove—Collecting and Analyzing Techniques for Text Input in XR,bhatia-2025-text,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,
2024,A Kalman Filter Model for synchronisation in musical ensembles,carvalho-2024-kalman,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,A methodological framework to assess the accuracy of virtual reality hand-tracking systems: A case study with the Meta Quest 2,abdlkarim-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
2023,How important are detailed hand motions for communication for a virtual character through the lens of charades?,adkins-2023,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,
2023,Skin properties and afferent density in the deterioration of tactile spatial acuity with age,deflorio-2022-skin-properties,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
2023,Touching with the eyes: oculomotor self-touch induces illusory body ownership,cataldo-2023,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Perceived intensities of normal and shear skin stimuli using a wearable haptic bracelet,sarac-2022,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,x
2022,"Robot, pass me the tool: handle visibility facilitates task-oriented handovers",ortenzi-2022-robot-tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
